1,92891
2,91324
3,90508
4,90376
5,90329
6,90323
7,90253
8,90237
9,89987
10,90058
11,5136
12,4478
13,3660
14,1527
15,1499
16,1461
17,902
18,4462
19,4454
20,4426
21,4413
22,4409
23,4402
24,4295
25,3795
26,3783
27,3761
28,3565
29,2645
30,2537
31,2742
32,2713
33,2567
34,603
35,38326
36,38294
37,37416
38,37071
39,36998
40,37091
41,35843
42,35416
43,35382
44,35408
45,39043
46,38566
47,38345
48,37576
49,36544
50,35380
51,34637
52,34461
53,128445
54,127725
55,127301
56,126293
57,125779
58,125769
59,125462
60,125361
61,125303
62,125298
63,124960
64,124870
65,124802
66,125222
67,124835
68,124774
69,124639
70,125710
71,13285
72,13605
73,13704
74,106045
75,105895
76,106940
77,100412
78,99781
79,99554
80,4343
81,4297
82,4134
83,4090
84,3951
85,3809
86,2635
87,2547
88,2527
89,2449
90,2244
91,2231
92,1818
93,1824
94,1799
95,1797
96,17660
97,18084
98,18063
99,17464
100,2025
101,1932
102,1884
103,1825
104,1133
105,536
106,108609
107,105289
108,65126
109,62782
110,114821
111,106029
112,101679
113,101044
114,100347
115,96111
116,89232
117,84289
118,40214
119,36473
120,20504
121,17072
