1,24
2,24
3,23
4,23
5,23
6,23
7,23
8,23
9,22
10,22
11,15
12,15
13,14
14,18
15,18
16,18
17,12
18,40
19,40
20,40
21,27
22,27
23,27
24,26
25,25
26,25
27,25
28,25
29,23
30,21
31,25
32,25
33,25
34,6
35,138
36,134
37,133
38,131
39,128
40,131
41,127
42,127
43,127
44,127
45,124
46,116
47,116
48,116
49,113
50,111
51,110
52,110
53,115
54,103
55,102
56,104
57,102
58,89
59,89
60,86
61,74
62,74
63,74
64,74
65,74
66,234
67,232
68,231
69,227
70,227
71,227
72,226
73,226
74,226
75,226
76,226
77,224
78,219
79,220
80,219
81,219
82,215
83,210
84,87
85,87
86,85
87,440
88,439
89,442
90,420
91,414
92,410
93,184
94,181
95,176
96,174
97,168
98,162
99,115
100,111
101,110
102,105
103,92
104,92
105,81
106,82
107,80
108,80
109,39
110,44
111,44
112,44
113,12
114,11
115,10
116,9
117,8
118,3
119,787
120,779
121,571
122,565
123,815
124,780
125,762
126,761
127,758
128,737
129,701
130,677
131,425
132,389
133,231
134,186
